symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
000250.KQ,KOSDAQ,KRX,KRW,삼천당제약,000250,,삼천당제약-주가-전망,000250-kq-stock-forecast
0009K0.KQ,KOSDAQ,KRX,KRW,에임드바이오,0009k0,,에임드바이오-주가-전망,0009k0-kq-stock-forecast
003380.KQ,KOSDAQ,KRX,KRW,하림지주,003380,,하림지주-주가-전망,003380-kq-stock-forecast
005290.KQ,KOSDAQ,KRX,KRW,동진쎄미켐,005290,,동진쎄미켐-주가-전망,005290-kq-stock-forecast
006910.KQ,KOSDAQ,KRX,KRW,보성파워텍,006910,,보성파워텍-주가-전망,006910-kq-stock-forecast
007390.KQ,KOSDAQ,KRX,KRW,네이처셀,007390,,네이처셀-주가-전망,007390-kq-stock-forecast
0082N0.KQ,KOSDAQ,KRX,KRW,카나프테라퓨틱스,0082n0,,카나프테라퓨틱스-주가-전망,0082n0-kq-stock-forecast
009520.KQ,KOSDAQ,KRX,KRW,포스코엠텍,009520,,포스코엠텍-주가-전망,009520-kq-stock-forecast
010170.KQ,KOSDAQ,KRX,KRW,대한광통신,010170,,대한광통신-주가-전망,010170-kq-stock-forecast
014620.KQ,KOSDAQ,KRX,KRW,성광벤드,014620,,성광벤드-주가-전망,014620-kq-stock-forecast
015750.KQ,KOSDAQ,KRX,KRW,성우하이텍,015750,,성우하이텍-주가-전망,015750-kq-stock-forecast
023160.KQ,KOSDAQ,KRX,KRW,태광,023160,,태광-주가-전망,023160-kq-stock-forecast
025320.KQ,KOSDAQ,KRX,KRW,시노펙스,025320,,시노펙스-주가-전망,025320-kq-stock-forecast
030530.KQ,KOSDAQ,KRX,KRW,원익홀딩스,030530,,원익홀딩스-주가-전망,030530-kq-stock-forecast
031980.KQ,KOSDAQ,KRX,KRW,피에스케이홀딩스,031980,,피에스케이홀딩스-주가-전망,031980-kq-stock-forecast
032190.KQ,KOSDAQ,KRX,KRW,다우데이타,032190,,다우데이타-주가-전망,032190-kq-stock-forecast
